Segment,City,State,Category,Sub-Category,Sales,Quantity,Discount,Profit,Cost
Consumer,Henderson,Kentucky,Furniture,Bookcases,261.96,2,0.0,41.9136,220.04639999999998
Consumer,Henderson,Kentucky,Furniture,Chairs,731.94,3,0.0,219.582,512.3580000000001
Corporate,Los Angeles,California,Office Supplies,Labels,14.62,2,0.0,6.8714,7.748599999999999
Consumer,Fort Lauderdale,Florida,Furniture,Tables,957.5775,5,0.45,-383.031,1340.6085
Consumer,Fort Lauderdale,Florida,Office Supplies,Storage,22.368,2,0.2,2.5164,19.851599999999998
Consumer,Los Angeles,California,Furniture,Furnishings,48.86,7,0.0,14.1694,34.6906
Consumer,Los Angeles,California,Office Supplies,Art,7.28,4,0.0,1.9656,5.3144
Consumer,Los Angeles,California,Technology,Phones,907.152,6,0.2,90.7152,816.4368000000001
Consumer,Los Angeles,California,Office Supplies,Binders,18.504,3,0.2,5.7825,12.721500000000002
Consumer,Los Angeles,California,Office Supplies,Appliances,114.9,5,0.0,34.47,80.43
Consumer,Los Angeles,California,Furniture,Tables,1706.184,9,0.2,85.3092,1620.8748
Consumer,Los Angeles,California,Technology,Phones,911.424,4,0.2,68.3568,843.0672
Consumer,Concord,North Carolina,Office Supplies,Paper,15.552,3,0.2,5.4432,10.108799999999999
Consumer,Seattle,Washington,Office Supplies,Binders,407.976,3,0.2,132.5922,275.3838
Home Office,Fort Worth,Texas,Office Supplies,Appliances,68.81,5,0.8,-123.858,192.668
Home Office,Fort Worth,Texas,Office Supplies,Binders,2.544,3,0.8,-3.816,6.359999999999999
Consumer,Madison,Wisconsin,Office Supplies,Storage,665.88,6,0.0,13.3176,652.5624
Consumer,West Jordan,Utah,Office Supplies,Storage,55.5,2,0.0,9.99,45.51
Consumer,San Francisco,California,Office Supplies,Art,8.56,2,0.0,2.4824,6.0776
Consumer,San Francisco,California,Technology,Phones,213.48,3,0.2,16.011,197.469
Consumer,San Francisco,California,Office Supplies,Binders,22.72,4,0.2,7.384,15.335999999999999
Corporate,Fremont,Nebraska,Office Supplies,Art,19.46,7,0.0,5.0596,14.400400000000001
Corporate,Fremont,Nebraska,Office Supplies,Appliances,60.34,7,0.0,15.6884,44.6516
Consumer,Philadelphia,Pennsylvania,Furniture,Chairs,71.372,2,0.3,-1.0196,72.3916
Consumer,Orem,Utah,Furniture,Tables,1044.63,3,0.0,240.2649,804.3651000000001
Consumer,Los Angeles,California,Office Supplies,Binders,11.648,2,0.2,4.2224,7.425599999999999
Consumer,Los Angeles,California,Technology,Accessories,90.57,3,0.0,11.7741,78.79589999999999
Consumer,Philadelphia,Pennsylvania,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,4748.4822
Consumer,Philadelphia,Pennsylvania,Office Supplies,Binders,9.618,2,0.7,-7.0532,16.6712
Consumer,Philadelphia,Pennsylvania,Furniture,Furnishings,124.2,3,0.2,15.525,108.675
Consumer,Philadelphia,Pennsylvania,Office Supplies,Envelopes,3.264,2,0.2,1.1016,2.1624
Consumer,Philadelphia,Pennsylvania,Office Supplies,Art,86.304,6,0.2,9.7092,76.5948
Consumer,Philadelphia,Pennsylvania,Office Supplies,Binders,6.858,6,0.7,-5.715,12.573
Consumer,Philadelphia,Pennsylvania,Office Supplies,Art,15.76,2,0.2,3.546,12.214
Home Office,Houston,Texas,Office Supplies,Paper,29.472,3,0.2,9.9468,19.5252
Corporate,Richardson,Texas,Technology,Phones,1097.544,7,0.2,123.4737,974.0703000000001
Corporate,Richardson,Texas,Furniture,Furnishings,190.92,5,0.6,-147.963,338.883
Home Office,Houston,Texas,Office Supplies,Envelopes,113.328,9,0.2,35.415,77.91300000000001
Home Office,Houston,Texas,Furniture,Bookcases,532.3992,3,0.32,-46.9764,579.3756
Home Office,Houston,Texas,Furniture,Chairs,212.058,3,0.3,-15.147,227.20499999999998
Home Office,Houston,Texas,Technology,Phones,371.168,4,0.2,41.7564,329.4116
Corporate,Naperville,Illinois,Technology,Phones,147.168,4,0.2,16.5564,130.6116
Corporate,Los Angeles,California,Office Supplies,Storage,77.88,2,0.0,3.894,73.98599999999999
Corporate,Melbourne,Florida,Office Supplies,Storage,95.616,2,0.2,9.5616,86.0544
Corporate,Eagan,Minnesota,Technology,Accessories,45.98,2,0.0,19.7714,26.208599999999997
Corporate,Eagan,Minnesota,Office Supplies,Binders,17.46,2,0.0,8.2062,9.2538
Consumer,Westland,Michigan,Office Supplies,Storage,211.96,4,0.0,8.4784,203.48160000000001
Consumer,Dover,Delaware,Technology,Accessories,45.0,3,0.0,4.95,40.05
Consumer,Dover,Delaware,Technology,Phones,21.8,2,0.0,6.104,15.696000000000002
Consumer,New Albany,Indiana,Office Supplies,Binders,38.22,6,0.0,17.9634,20.2566
Consumer,New Albany,Indiana,Office Supplies,Labels,75.18,6,0.0,35.3346,39.845400000000005
Consumer,New Albany,Indiana,Furniture,Furnishings,6.16,2,0.0,2.9568,3.2032000000000003
Consumer,New Albany,Indiana,Furniture,Chairs,89.99,1,0.0,17.0981,72.89189999999999
Corporate,New York City,New York,Office Supplies,Fasteners,15.26,7,0.0,6.2566,9.0034
Corporate,New York City,New York,Technology,Phones,1029.95,5,0.0,298.6855,731.2645
Consumer,Troy,New York,Office Supplies,Storage,208.56,6,0.0,52.14,156.42000000000002
Consumer,Troy,New York,Office Supplies,Paper,32.4,5,0.0,15.552,16.848
Consumer,Troy,New York,Furniture,Chairs,319.41,5,0.1,7.098,312.312
Consumer,Troy,New York,Office Supplies,Paper,14.56,2,0.0,6.9888,7.5712
Consumer,Troy,New York,Technology,Accessories,30.0,2,0.0,3.3,26.7
Consumer,Troy,New York,Office Supplies,Binders,48.48,4,0.2,16.362,32.117999999999995
Consumer,Troy,New York,Office Supplies,Art,1.68,1,0.0,0.84,0.84
Consumer,Los Angeles,California,Technology,Accessories,13.98,2,0.0,6.1512,7.8288
Consumer,Los Angeles,California,Office Supplies,Binders,25.824,6,0.2,9.3612,16.4628
Consumer,Los Angeles,California,Office Supplies,Paper,146.73,3,0.0,68.9631,77.76689999999999
Consumer,Los Angeles,California,Furniture,Furnishings,79.76,4,0.0,22.3328,57.427200000000006
Home Office,Chicago,Illinois,Furniture,Chairs,213.115,5,0.3,-15.2225,228.3375
Corporate,Gilbert,Arizona,Office Supplies,Art,1113.024,8,0.2,111.3024,1001.7215999999999
Corporate,Gilbert,Arizona,Technology,Phones,167.968,4,0.2,62.988,104.97999999999999
Consumer,Springfield,Virginia,Office Supplies,Paper,75.88,2,0.0,35.6636,40.21639999999999
Consumer,New York City,New York,Office Supplies,Binders,4.616,1,0.2,1.731,2.885
Consumer,Jackson,Michigan,Office Supplies,Paper,19.05,3,0.0,8.763,10.287
Consumer,Memphis,Tennessee,Furniture,Chairs,831.936,8,0.2,-114.3912,946.3272000000001
Consumer,Memphis,Tennessee,Furniture,Furnishings,97.04,2,0.2,1.213,95.82700000000001
Consumer,Memphis,Tennessee,Office Supplies,Storage,72.784,1,0.2,-18.196,90.98
Corporate,Houston,Texas,Office Supplies,Binders,1.248,3,0.8,-1.9344,3.1824
Corporate,Houston,Texas,Furniture,Furnishings,9.708,3,0.6,-5.8248,15.5328
Corporate,Houston,Texas,Office Supplies,Storage,27.24,3,0.2,2.724,24.516
Consumer,Houston,Texas,Furniture,Furnishings,19.3,5,0.6,-14.475,33.775
Corporate,Decatur,Alabama,Office Supplies,Appliances,208.16,1,0.0,56.2032,151.9568
Corporate,Decatur,Alabama,Office Supplies,Binders,16.74,3,0.0,8.0352,8.704799999999999
Consumer,San Francisco,California,Office Supplies,Art,14.9,5,0.0,4.172,10.728000000000002
Consumer,San Francisco,California,Office Supplies,Storage,21.39,1,0.0,6.2031,15.186900000000001
Corporate,Durham,North Carolina,Office Supplies,Envelopes,200.984,7,0.2,62.8075,138.1765
Home Office,Chicago,Illinois,Office Supplies,Storage,230.376,3,0.2,-48.9549,279.3309
Consumer,Columbia,South Carolina,Furniture,Chairs,301.96,2,0.0,33.2156,268.7444
Consumer,Rochester,Minnesota,Technology,Accessories,19.99,1,0.0,6.7966,13.193399999999999
Consumer,Rochester,Minnesota,Office Supplies,Labels,6.16,2,0.0,2.9568,3.2032000000000003
Home Office,Houston,Texas,Office Supplies,Storage,158.368,7,0.2,13.8572,144.5108
Corporate,Los Angeles,California,Office Supplies,Art,20.1,3,0.0,6.633,13.467000000000002
